Myanmar,English
အားလုံး ဒီတက္ကသိုလ်ကကျောင်းသားတွေပါ။,Everyone is a student at this university
ကုန်တိုက်ကနေ နောက်နှစ်အတွက်ပြက္ခဒိန်ကို ဝယ်တယ်။,I bought a calendar for next year at the department store
ကိတ်မုန့် စားတဲ့အခါ ခက်ရင်းကို သုံးတယ်။,I use a fork when I eat cake
မနေ့ကရုပ်ရှင် ဘယ်လိုနေလဲ။,How was yesterdays film
ကိုယ်ခံအား မကောင်းလို့ အားကစားလုပ်လို့မရဘူး။,I cannot play sport because my body is weak
မစ္စတာခိမုရက ဉာဏ် အရမ်း ကောင်းတယ်။,Ms Kimura has a very good mind
မစ္စတာတာနာခါကို စာအုပ် ပြမယ်။,I will show this book to Mr Tanaka
မနေ့ကပါတီမှာ အရမ်း ပျော်ခဲ့တယ်။,The party yesterday was very fun
ဒီနေ့ တော်တော် နွေးလို့ လမ်းလျှောက် ထွက်မယ်။,It is very warm today so I will go for a walk
လေးတယ်ရဲ့ ဆန့်ကျင်ဘက်က ပေါ့တယ်။,The opposite of heavy is light
နေ့တိုင်း ရေဒီယိုနဲ့ သတင်း နားထောင်တယ်။,I listen to the news on the radio every day
ဘူတာကနေ ကျောင်းကို ဝေးလို့ ဘတ်စကား စီးတယ်။,It is far from the station to school so I ride the bus
ထမင်း အများကြီး စားရင် ခန္ဓာကိုယ် သန်စွမ်းမယ်။,Eat a lot of food and you will have a strong body
ဂျပန်က ကျဉ်းတဲ့နိုင်ငံ ဖြစ်တယ်။,Japan is a small country
မနေ့က အမေ့ဆီ စာပို့လိုက်တယ်။,I sent a letter to my mother yesterday
ဝက်သား နှစ်ရာဂရမ် ဝယ်မယ်။,I will buy  grams of pork
ကျွန်တော် မနက်တိုင်း ဟင်းသီးဟင်းရွက်နဲ့ သစ်သီး စားတယ်။,I eat vegetables and fruit every morning
ဘယ်လိုလူမျိုးနဲ့ လက်ထပ်ချင်သလဲ။,What kind of person would you like to marry
ဒီနေ့ ညစာအတွက် ကာရီ ချက်မယ်လို့ စိတ်ကူးထားတယ်။,Today I will make curry for dinner
ဆောင်းတွင်းဆို ချမ်းလို့ အနွေးစက် ဖွင့်တယ်။,It is cold in the winter so I will turn on the heater
ဒီနေ့ ဘာလ ဘာရက်လဲ။,Whats the date today
အလုပ်များလို့ လျှောက်လည်ဖို့ အချိန်မရဘူး။,I am busy with work so I dont have time to go out
သူငယ်ချင်းနဲ့ ဥရောပကို အလည်သွားမလားလို့ စိတ်ကူးနေတယ်။,I am thinking of travelling to Europe with my friend
ဘေးအိမ်ကခွေးက ဆူလို့ စာဖတ်လို့မရဘူး။,I cannot study because the neighbours dog is loud
ကားက ဈေးကြီးပေမဲ့ အဆင်ပြေတယ်။,Cars are expensive but convenient
အမြဲတမ်း ဒီမှာ နေ့လယ်စာ စားတယ်။,I eat lunch here every day
အဲဒီအိတ်က ဘယ်သူ့ဟာလဲ။,Whose bag is that
မနေ့က ကြည့်ခဲ့တဲ့ရုပ်ရှင် အရမ်း စိတ်ဝင်စားဖို့ကောင်းတယ်။,The film I saw yesterday was interesting
ကျွန်တော် သန့်ရှင်းရေးတို့ အဝတ်လျှော်တာတို့ကို လုပ်ရတာ မုန်းတယ်။,I dont like cleaning or doing the laundry
မစ္စတာခိုဘာယာရှိရဲ့ အိမ်မှာ အိမ်မွေးတိရစ္ဆာန် ရှိတယ်။,Mr Kobayashi has a pet in his house
ဒီစာသင်ခန်းက အလင်းရောင်ကောင်းပြီး သန့်ရှင်းတယ်။,This classroom is bright and pretty
မနှစ်ကထက်စာရင် ဒီနှစ်က ပိုပူတယ်။,It is hotter this year than last year
နောက်အပတ် ကျွန်တော် သူငယ်ချင်းနဲ့ တိုကျို သွားလည်မယ်။,I will go to Tokyo to hang out next week
ဆောရီးပဲ။ နက်ဖန်ခါတော့ သိပ် အဆင်မပြေဘူး။,B Im sorry Tomorrow is a little
ပါတီက ဟင်းတွေ စားလို့မကောင်းဘူး။,The food at the party was not very good
တစ်နေ့က ကုန်တိုက်မှာ ဖိနပ်အသစ် ဝယ်ခဲ့တယ်။,The day before yesterday I bought new shoes at the department store
နေ့တိုင်း အလုပ်များလို့ သိပ် အနားမယူနိုင်ဘူး။,I am busy every day so I cannot really rest
ဟလို။,Hello
ဒီနေ့ စားသောက်ဆိုင်မှာ ညစာစားမယ်။,I will eat dinner at a restaurant today
ရှေ့လကမှ ဆံပင်ညှပ်ထားတာ ပြန်ရှည်လာပြန်ပြီ။,Although I cut my hair last month it has already become long
အန္တရာယ် ရှိလို့ ဟိုကပြတင်းပေါက်ကို မဖွင့်ရဘူး။,Dont open that window because it is dangerous
ကျွန်တော် အရက် သိပ် မသောက်ဘူး။,I do not drink a lot of alcohol
ကျွန်တော် ညီလေးကို ပိုက်ဆံချေးလိုက်တယ်။,I lent my money to my little brother
သကြား ထည့်ပြီးရင် နောက်တစ်ဆင့်အနေနဲ့ ပဲငံပြာရည် နည်းနည်း ထည့်မယ်။,After you put in some sugar then you put in a little bit of soy sauce
အဲဒီမှာ ဆိုင်တွေ အများကြီး တန်းစီနေတာပဲ။,There are a lot of stores over there that are lined up
ကျွန်တော် ဘတ်စကား စောင့်နေတယ်။,I am waiting for the bus
မတ်တပ်ရပ်ပြီး သီချင်းဆိုတယ်။,I will stand and sing a song
အမြဲတမ်း မအိပ်ခင်မှာ မိနစ်သုံးဆယ်လောက်သာ စာအုပ် ဖတ်တယ်။,I always read a book for only thirty minutes before I go to sleep
ထမင်းစားပြီးရင် သွားတိုက်တယ်။,After eating we brush our teeth
ဒီအပတ် ဂျပန်စာအတန်း မရှိဘူး။,There will not be Japanese class this week
လေယာဉ်ကွင်း သွားတဲ့ဘတ်စကားက ဟိုဘက်ခြမ်းက လာမှာ။,The bus that goes to the airport stops on the other side of the road
အိမ်ကနေ ကျောင်းအထိ ရထားနဲ့ တစ်နာရီ ကြာတယ်။,It takes one hour to get from my house to school by train
ဒီနေရာကို နှိပ်ရင် အသံကျယ်လာမယ်။,If you press here the sound will get louder
ကောင်းကင်က ပြာတယ်။,The sky is blue
စာရေးခုံပေါ်မှာ စာအုပ် ထားတယ်။,I will put a book on the desk
မစ္စတာယာမာဒါဆီက ပိုက်ဆံချေးတယ်။,I will borrow money from Mr Yamada
မိုးရွာလည်း စက်ဘီးနဲ့ သွားတယ်။,Even if it rains I go by bicycle
မနေ့နေ့လယ်က မစ္စတာခိမုရနဲ့ ကော်ဖီဆိုင် သွားတယ်။,I went to a cafe with Mr Kimura during lunchtime yesterday
အဖြေ ရေးပြီးတဲ့စာရွက်ကို ထပ်လိုက်ပါ။,Please hand in the paper with the answers written on it
ကျွန်တော် နောက်အပတ် မစ္စတာခိုဘာယာရှိနဲ့ ထပ်ပြီး လျှောက်လည်ဦးမယ်။,I will go out with Mr Lee again next week
ဂျပန်မှာ ဆယ့်ရှစ်နှစ်ကစပြီး ကားမောင်းလို့ရတယ်။,In Japan you can start driving at  years old
ကျောင်းအထိဆို ဘတ်စကားထက်စာရင် ရထားက ပိုမြန်တယ်လို့ ထင်တယ်။,I think taking the train to school is faster than taking the bus
မစ္စခိမုရက ချစ်စရာကောင်းတဲ့စကတ်လေးကို ဝတ်ထားတယ်။,Ms Kimura is wearing a cute skirt
မနေ့က မကြားချင်တဲ့စကားကို ကြားရတယ်။,I heard something I didnt like yesterday
ကိုးနာရီမှာ အိမ်က ထွက်မယ်။,I will leave the house at nine
လေးလပိုင်းကနေ တက္ကသိုလ် စတယ်။,University starts in April
မစ္စတာမဆုအိက ဂီတာတီးတတ်တယ်။,Mr Matsui can play the guitar
မစ္စတာတာနာခါက ပင်ပန်းတဲ့အလုပ်တွေ လုပ်နေတယ်။,Mr Tanaka is doing a hard job
မစ္စတာမဆုအိက ဟင်းချက် တော်တယ်။,Mr Matsui is good at cooking
ဒီနှစ် သုံးလပိုင်း ဆယ်ငါးရက်နေ့တုန်းက ဂျပန်ကို လာတယ်။,I came to Japan on  March this year
အဘိဓာန် ဟိုကစာအုပ်စင်မှာ ရှိတယ်။,The dictionary is on that bookshelf
ရထား စီးတဲ့အခါ လက်မှတ် လိုတယ်။,We need a ticket to ride the train
နောက်နှစ်မှာ ကျွန်တော် တက္ကသိုလ်ပြီးမယ်။,I will graduate from university next year
မုန်တိုင်းကြီး ဝင်လို့ ရထားတွေ ရပ်ကုန်တယ်။,A big typhoon came and the train stopped
ရှေ့အပတ်က အလုပ်များလို့ စာမလုပ်နိုင်ဘူး။,I was busy last week so I could not study
ညစာစားပြီး၊ ရေချိုးပြီး အိပ်တယ်။,I eat dinner take a bath and go to sleep
မနက်တိုင်း သတင်းစာ ဖတ်ပြီး ကုမ္ပဏီ သွားတယ်။,I read the newspaper every morning and go to work
မနက်ဖန် အတူတူ ဈေးသွားဝယ်ရအောင်လား။,A Would you like to go shopping with me tomorrow
ဂျပန်တေးဂီတကို နားထောင်ချင်တယ်။,I would like to listen to Japanese music
နေ့တိုင်း အလုပ်များတယ်။ ဒါပေမဲ့ အရမ်း ပျော်တယ်။,I am busy every day However every day is very fun
မစ္စတာယာမာဒါက စာသင်ခန်းထဲမှာ ရှိတယ်။,Mr Yamada is in the classroom
အဲဒီမှာ ရှိတဲ့လူက မစ္စတာယာမာဒါ ဖြစ်လိမ့်မယ်။,The person over there is probably Mr Yamada
မနက်ဖန် ဆရာ့ဆီ စာစီစာကုံး ထပ်မယ်။,I will hand in the composition to the teacher tomorrow
ဘောပင်နဲ့ စာရေးတယ်။,I write with a pen
ဆိုင်ဝန်ထမ်းကို အစားအသောက် မှာလိုက်တယ်။,I asked the store staff for food
အမြဲတမ်း ကိုးနာရီကျော်မှာ အတန်းစတယ်။,Class always starts after
ညီလေးက ကိုယ်ခန္ဓာ အရမ်း သန်မာတယ်။,My brother has a strong body
မိုးရွာမလိုပဲ။,It looks like it is going to rain
ကျွန်တော် အနီထက် အပြာကို ပိုကြိုက်တယ်။,I like red more than blue
နက်ဖန်မနက်ကျရင် အဝတ်လျှော်ရမယ်။,I must do the laundry tomorrow morning
မင်း တော်တော် အလုပ်လုပ်တာပဲနော်။,You really work hard
တခြား ဘာပစ္စည်း လိုချင်သေးလဲ။,Are there any other things you want
ဆာရှိမိကို ပဲငံပြာရည် ဆမ်းပြီး စားတယ်။,We eat sashimi with soy sauce
မနေ့က အရက် နှစ်ခွက် သောက်တယ်။,I had two glasses of alcohol
သေတ္တာပုံးထဲမှာ ခွေးသေးသေးလေး ရှိတယ်။,There is a small dog in the box
မစ္စတာမဆုအိနဲ့ မစ္စတာလီက သူငယ်ချင်းတွေပါ။,Mr Matsui and Mr Lee are friends
အမြဲတမ်း မအိပ်ခင် သွားတိုက်တယ်။,Before I go to sleep I brush my teeth
ကွန်ပျူတာ သုံးနေတယ်၊ ခလုတ် မပိတ်လိုက်ပါနဲ့။,We are using the computer Please do not switch it off
ရှူးဖိနပ်ကို ချွတ်ပြီး ဖိနပ်ပါးကို စီးတယ်။,I take off my shoes and put on slippers
ဒါ မော်တော်ကားမဂ္ဂဇင်းပါ။,This is a car magazine
ဂျပန်လူမျိုးတွေက တူနဲ့ ထမင်းစားတယ်။,Japanese people use chopsticks to eat
ဒီတောင်က နိမ့်တယ်။,This mountain is low
ဒီရွာက တိတ်ဆိတ်ပြီး သာယာတယ်။,This village is quiet and beautiful
ဂျပန်လို လေးကို ယွန်းလို့ ဖတ်တယ်။,We read  as four
မနက်ဖန်ကစပြီး နေ့တိုင်း ခန်းဂျီး လေ့လာမယ်။,Starting tomorrow I will study kanji every day
ခေါင်းကိုက်လား။,Does your head hurt
ဒီရုပ်ရှင်က သိပ်မကောင်းဘူး။,This film was not really good
မျက်စိ မကောင်းလို့ မျက်မှန်တပ်မယ်။,I will wear glasses because my eyes are bad
ဒီမြို့ရဲ့ အရှေ့ဘက်က အားလုံး သစ်တောတွေပါ။,There is a forest on the east side of this town
မစ္စတာခိုဘာယာရှိက အဲဒီစားသောက်ဆိုင်ကို မသိဘူး။,Mr Kobayashi did not know the restaurant
ညနေ မစောင်းခင်ထိ ဒီအလုပ်ကို ပြီးအောင် လုပ်ရမယ်။,I need to finish this work by evening
ဟိုမှာ မစ္စတာခိမုရ ရပ်နေတယ်။,Ms Kimura is standing over there
ဒီခန်းဂျီးကို ယာမလို့ ဖတ်တယ်။,This kanji reads yama
မစ္စတာခိုဘာယာရှိရဲ့ အဒေါ်က တိုကျိုမှာ နေတယ်။,Mr Kobayashis aunt lives in Tokyo
ကျွန်တော် အခု ကွန်ပျူတာ လိုချင်တယ်။,I want a computer now
အဲဒီစားသောက်ဆိုင်က ဈေးပေါတယ်။ ဒါပေမဲ့ သိပ် စားလို့မကောင်းဘူး။,That restaurant is cheap but it doesnt taste very good
ဒါလေးက အရမ်း ပေါ့ပြီး အဆင်ပြေတဲ့အဘိဓာန်ပဲ။,This is a very light and convenient dictionary
ဆယ်နာရီ ငါးဆယ့်တစ်မိနစ်ပါ။,It is  right now
မနက်ဖန် တင်းနစ်ပြိုင်ပွဲ ရှိတယ်။,There is going to be a tennis match tomorrow
ဒီစာအုပ်စင်က အနံ တစ်မီတာ အလျားတစ်မီတာခွဲ ရှိတယ်။,This bookshelf is  metre tall and  metres wide
မေးခွန်း ခက်လို့ မဖြေနိုင်ဘူး။,I couldnt answer the question because it was too hard
ပန်းခြံမှာ သစ်ပင် တုတ်တုတ်ကြီးတွေ ရှိတယ်။,There is a tree in the park with a thick trunk
ကျွန်တော် အင်္ဂလိပ်စကား ပြောတတ်တယ်။,I can speak English
ကျွန်တော် အသားထက် ငါးကို ပိုကြိုက်တယ်။,I like meat more than fish
စားပွဲပေါ်မှာ ပန်းအိုး နှစ်လုံး စီထားမယ်။,I will put two vases on the table
မစ္စတာလီ ဂျပန်စကား နားလည်တယ်။,Mr Lee understands Japanese
အတန်းသားတွေ၊ လာမယ့်အပတ်မှာ ခန်းဂျီးစာမေးပွဲ စစ်မယ်။,Everyone there will be a kanji test next week
သန့်စင်ခန်းက နှစ်ထပ်မှာ ရှိတယ်။,The toilet is on the second floor
မနက်ဖန် မိုးအုံ့မယ်ဆိုပဲ။,They say it will be cloudy tomorrow
အဲဒီမှာ ရှိတဲ့ပစ္စည်းတွေကို မသုံးရဘူး။,You cannot use the thing that is over there
ဒီနေ့ တနင်္ဂနွေနေ့ ဆိုပေမဲ့ ကုမ္ပဏီ သွားရမယ်။,Today is a Sunday but I will go to the office
စာအုပ်စင်မှာ စာအုပ်တွေ အများကြီး စီထားတယ်။,There are a lot of books arranged on the bookshelf
မနေ့က အတန်းထဲမှာ လက်ကိုင်ပဝါ မေ့ကျန်ခဲ့တယ်။,I forgot my handkerchief in my classroom yesterday
အပြင်ထွက်လို့ ရမလား။,May I go outside
နေ့တိုင်း ကျောင်းဆင်းရင် တင်းနစ် လေ့ကျင့်တယ်။,I practise tennis every day after school finishes
ဒီစာသင်ခန်းမှာ လွယ်အိတ် ကိုးလုံး ရှိတယ်။,There are nine bags in this classroom
ဒီစားသောက်ဆိုင်ကဆိုင်ဝန်ထမ်းတွေ အလုပ်များတဲ့ပုံပဲ။,The staff at this restaurant seems busy
ဒီစာရွက်ပေါ်မှာ မေးခွန်းရဲ့ အဖြေကို ရေးမယ်။,We write our answers on this paper
ကျွန်တော် ညီမလေးရဲ့ အိမ်စာကို ကြည့်ပေးတယ်။,I helped my little sister with her homework
ဂျပန်ဟင်းလျာတွေကို ဘယ်လို သဘောရသလဲ။,How is Japanese food
ကျွန်တော့်ဘောပင်က ဒီဟာပါ။,This is my pen
ဒီစကားက အမှန်တကယ်။,This story is true
မနေ့က အိမ်မွေးတိရစ္ဆာန်နဲ့ ကစားတယ်။,I played with my pet yesterday
အဲဒီလူရဲ့ ခြေထောက်က အရှည်ကြီးပဲ။,That person has really long legs
ဂျပန်ရဲ့ ရုပ်ရှင်ကားဟောင်းပါ။,Its an old Japanese film
မစ္စတာလီက အခု စာကြည့်တိုက်မှာ ရှိတယ်။,Mr Lee is in the library right now
နိုင်ငံခြားမှာ ပတ်စပို့ ပျောက်သွားလို့ ဒုက္ခရောက်ခဲ့တယ်။,It was troubling for me because I lost my passport while I was abroad
အအေးမိပြီး ကိုယ်အပူချိန် သုံးဆယ့်ရှစ်ဒီဂရီ ရှိတယ်။,I have a cold and my temperature is  degrees
အခန်းမှာ ရှိတုန်းက ဖုန်းဆက်တယ်။,I telephoned while I was in my room
ကျောင်းကို အမြဲတမ်း ခဲတံ သုံးချောင်း ယူသွားတယ်။,I always bring three pencils to school
နားရက်မှာ သူငယ်ချင်းနဲ့ အပြင်ထွက်တယ်။,I go out with my friends on holidays
ရထား စီးတဲ့အခါ ဆင်းတဲ့လူက အရင်။,When we ride the train we let the people get off first
အဲဒီကပင်လယ်က အရမ်း လှတယ်။,The sea over there is very pretty
ဆရာက မေးခွန်းထုတ်လိုက်ပါတယ်။,The teacher asked a question
ဟိုမှာ ဆရာ ရှိတယ်။,That book is mine
နေမကောင်းလို့ ကျောင်းမသွားဘူး။,I was absent from school because I was ill
တနင်္ဂနွေနေ့ဆို ညီလေးက စာအုပ်ဖတ်လိုက် တီဗွီကြည့်လိုက် လုပ်တယ်။,On Sundays my little brother reads books and watches television
မစ္စတာမဆုအိဆီက ဒီည သွားမယ့် စားသောက်ဆိုင်ရဲ့ ဖုန်းနံပါတ်ကို မေးထားတယ်။,I asked Mr Matsui the telephone number of the restaurant we are going to tonight
အိမ်စာလုပ်ဖို့ မမေ့ပါစေနဲ့။,Please do not forget the homework
မုန့်ကို တစ်ခုတည်းပဲ စားတယ်။,I ate only one snack
ကျောင်းမသွားဘူး။,I will be absent from school
တနင်္ဂနွေနေ့မှာ တင်းနစ်ရိုက်တယ်။,I play tennis on Sundays
ဒါ မစ္စတာခိုဘာယာရှိရဲ့ အကြိုက်ဆုံးအစားအစာပါ။,This is Mr Kobayashis favourite food
အတော်ပဲ၊ အခု ပွဲစတော့မယ်။,The competition is just about to start now
သူတို့တွေက သူငယ်ချင်းတွေပါ။,Those people are my friends
ကျွန်တော် အဲဒီတောင်ကို တက်ဖူးတယ်။,I have climbed that mountain before
ဂျပန်က ဟင်းတွေက စပ်သလား။,Is Japanese food spicy
ပိတ်ရက်မှာ သူငယ်ချင်းနဲ့ ဈေးသွားဝယ်မယ်။,I go shopping with my friend on my days off
သူငယ်ချင်းကို လိပ်စာအသစ် ပေးလိုက်တယ်။,I told my friend my new address
ရထားပေါ်မှာ ထီး မေ့ကျန်ခဲ့တယ်။,I left my umbrella on the train
ကိတ်မု့န် စားတဲ့လူက မစ္စတာယာမာဒါပါ။,Mr Yamada was the one who ate the cake
ဒီအခန်းထဲမှာ ထမင်းဘူး ဖွင့်စားလည်း ရတယ်။,You may eat your boxed lunch in this room
မနက်ဖန် မမေ့မလျော့ စာအုပ် ပြန်ပေးမယ်။,I will not forget to return the book to you
သောက်ထားလို့ ခွက်ကို ပြောင်အောင် ဆေးတယ်။,After drinking I wash the glass clean
ဒီကွန်ပျူတာက ဈေးကြီးပေမဲ့ အရမ်း ကောင်းတယ်။,This computer is expensive but it is very good
ရှေ့သုံးရက်က ဆံပင်ညှပ်ခဲ့တယ်။,I cut my hair three days ago
မစ္စတာခိမုရက မုန့်ကို ခုနစ်ခု လုပ်ခဲ့တယ်။,Ms Kimura made seven snacks
ဟင့်အင်း၊ မသွားဘူး။,No I wont go
ဒီမနက်က ထမင်းမစားဘဲ အိမ်က ထွက်တယ်။,I left the house without eating this morning
ဘူတာနားမှာ စားသောက်ဆိုင်သစ်တစ်ဆိုင် လာဖွင့်ထားတယ်။,A new restaurant was built near the station
ဘောပင် ပါမလာတဲ့သူတွေ ခဲတံနဲ့ဆိုလည်း ရတယ်။,People who have not brought a ballpoint pen may use a pencil
မနေ့တုန်းကညစာက အသားဟင်းနဲ့ပါ။,Yesterdays dinner was a meat dish
ကျွန်တော် မနက်ဖန် သံရုံးကို သွားမယ်။,I will go to the embassy tomorrow
နွေ ရောက်ရင် ပူလာမယ်။,In summer it becomes hot
ကျွန်တော် ကြိုက်တဲ့အရောင်က အပြာပါ။,My favourite colour is blue
အိမ်ပြန်ရင် သန့်ရှင်းရေးလုပ်မယ်လို့ စိတ်ကူးထားတယ်။,When I get home I am going to clean my room
အတန်းကလူတွေနဲ့ ခရီးသွားခဲ့တယ်။,My class went on a trip together
ဘာအစားအစာ ကြိုက်သလဲ။,What is your favourite food
ဟိုဘက်ကပြတင်းပေါက်ကို ဖွင့်လိုက်ပါ။,Please open the window over there
ကျွန်တော့်ရှေ့မှာ မစ္စတာမဆုအိ ထိုင်တယ်။,Ms Matsui sat in front of me
ကျွန်တော် လမ်းလျှောက်တာ အရမ်း နှေးတယ်။,I walk very slowly
ပြတင်းပေါက် ဖွင့်လိုက်တော့မှ နည်းနည်း အေးသွားတယ်။,When I opened the window it became a little cooler
ဟိုဘက်က မစ္စတာယာမာဒါပါ။,That is Mr Yamada
ပူလို့ အိမ်ပြန်ပြီး ရေချိုးတယ်။,It was hot so I went home and took a shower
ဂျပန်ရဲ့ နွေဦးလေက ကြမ်းတယ်။,In Japan the wind is strong in spring
နေ့တိုင်း ဂျပန်စာ လေ့လာနေပေမဲ့ ခန်းဂျီးကိုတော့ မှတ်လို့ မရဘူး။,Although I study Japanese every day I cannot memorize Kanji
နာရီ အတော်ကြာကြာ အလုပ်လုပ်ခဲ့ရလို့ နည်းနည်း အနားယူလိုက်တယ်။,I worked for a long time so I took a little rest
မနေ့က ရှစ်နာရီကြာလောက် အိပ်တယ်။,I slept for eight hours yesterday
စားသောက်ဆိုင်က ဟိုကအဆောက်အအုံထဲမှာ ရှိတယ်။,The cafeteria is in that building over there
အဘိဓာန် သုံးပြီး အင်္ဂလိပ်စာ လေ့လာတယ်။,I study English using a dictionary
ရှေ့ကအကွေ့ ရောက်ရင် ညာဘက်ကို ချိုးမယ်။,We turn right at the next corner
မနေ့တုန်းကပါတီက ပျော်ဖို့ကောင်းပါတယ်။ ဒါပေမဲ့ နည်းနည်းတော့ ပင်ပန်းသွားတယ်။,The party yesterday was fun but it was tiring
ဟိုမှာ ဘူးဝိုင်းလေး ရှိတယ်။,There is a round box over there
ဘယ်လောက်လဲ။,How much is it
ကျွန်တော် ဒီနှစ်ကစပြီး ဂီတာတီး သင်မယ်။,I will learn the guitar starting this year
ကျွန်တော့်မိဘတွေက ပင်လယ်ကမ်းခြေဘေးနားမှာ နေတယ်။,My parents live near the sea
ရေကူးကန်ကရေက အေးတယ်။,The water in the pool is cold
ရေခဲသေတ္တာထဲမှာ ဟင်းသီးဟင်းရွက်နဲ့ ကြက်ဥ ရှိတယ်။,There are vegetables and eggs in the refrigerator
တိုကျိုမှာ နေသာတယ်။,It was sunny in Tokyo
စာကြည့်တိုက်က မနက်နာရီကနေ ညနာရီအထိ ဖွင့်ပါတယ်။,The library is open from  in the morning to  in the evening
ကျွန်တော့်အဖေက ဘဏ်ဝန်ထမ်းပါ။,My father is a bank employee
ဟိုမှာ ကောင်မလေးငယ်ငယ်လေး တစ်ယောက် ရှိတယ်။,There is a small girl over there
မစ္စတာယာမာဒါက စိတ်ဝင်စားဖို့ကောင်းတဲ့လူပဲ။,Mr Yamada is a funny person
စာတိုက်က ဘူတာဘေးမှာ ရှိတယ်။,The post office is near the station
ဆရာက ကျောင်းသားကို သတင်းစာမိတ္တူ ပေးလိုက်တယ်။,The teacher gave the students a copy of the newspaper
နေ့တိုင်း ထမင်း သုံးခါ စားတယ်။,I eat three times every day
ကျွန်တော့်မွေးနေ့က ရှစ်လပိုင်း နှစ်ဆယ့်ခြောက်ရက်နေ့ပါ။,My birthday is on  August
မနေ့ကအတန်းက အချိန်ရှည်တယ်။,Yesterdays class was long
ကျောင်းမှာ နေ့တိုင်း ခန်းဂျီးစာမေးပွဲ ရှိတယ်။,There is a kanji test at school every day
ဒီလက်ဖက်ရည်က ပူတယ်။,This tea is hot
ဟိုစာသင်ခန်းထဲမှာ တီဗွီ ရှိတယ်။,There is a television in that room
အခုချိန်မှာ အလိုချင်ဆုံးအရာကတော့ ကွန်ပျူတာအသစ်ပဲ။,The thing I want the most right now is a new computer
မစ္စတာတာနာခါဟာ တက်တက်ကြွကြွရှိတဲ့လူ ဖြစ်တယ်။,Mr Tanaka is an energetic person
မနေ့က တစ်နေ့လုံး စာဖတ်လိုက်လို့ ဒီနေ့တော့ ကစားမယ်။,I studied all day yesterday so I will play today
မစ္စတာတာနာခါရဲ့ အိတ်က အဲဒီမှာ ရှိတယ်။,Mr Tanakas bag is there
မနက်တိုင်း ကိုးနာရီမှာ ကုမ္ပဏီ သွားတယ်။,I always go to work at nine in the morning
နက်ဖန်မနက်ကျရင် အဝတ်မလျှော်လို့မဖြစ်ဘူး။,I must do the laundry tomorrow morning
အမေ့ကို ဆယ့်တစ်လပိုင်း နှစ်ဆယ့်ကိုးရက်နေ့မှာ မွေးခဲ့တယ်။,My mother was born on the th of November
ကျွန်တော် ဒီသီချင်းကို အကြိုက်ဆုံးပဲ။,I like this song the best
ဒီအိတ်က ကြီးပြီး လေးတယ်။,This bag is big and heavy
သူငယ်ချင်းဆီက ခရီးအပြန်လက်ဆောင် ရခဲ့တယ်။,I received a souvenir from my friend
ဇွန်းနဲ့ ကော်ဖီထဲကို သကြား ထည့်တယ်။,I put sugar in my coffee using a spoon
ကျွန်တော် အတန်းတက်ရတာ ပျော်တယ်။,Class is fun for me
အမြဲတမ်း မအိပ်ခင် ရေချိုးတယ်။,I always take a bath before sleeping
မနေ့က သူငယ်ချင်းနဲ့ ချောင်းကို သွားကစားတယ်။,I went to the river yesterday with my friend and played
ယမ်းမီးခြစ်ကို သုံးပြီး ဆေးလိပ်သောက်တယ်။,I lit a cigarette using a match
ဟိုဘက်က ကောင်းကင်မှာ ငှက်တွေ ပျံနေတယ်။,The bird is flying over there
နောက်ဆယ်မိနစ်ဆို ငါးနာရီ ထိုးပြီ။,Ten more minutes until five
နိုင်ငံခြား သွားတဲ့အခါ ပတ်စပို့ လိုတယ်။,You need your passport when you go abroad
ဂျပန်မှာ အိမ်ထဲကို ဝင်တဲ့အခါ ဖိနပ်ချွတ်တယ်။,In Japan when you enter a house you take off your shoes
ခန်းဂျီးကို မှတ်မိအောင် ဘယ်လို လုပ်ရမလဲ။,How can you memorize kanji
ရှစ်လပိုင်း တစ်ရက်နေ့ကစပြီး နွေရာသီ ပိတ်ပြီ။,It is summer vacation from the first of August
မနက်ခုနစ်နာရီမှာ အိပ်ရာထတယ်၊,I wake up at  eat breakfast at the cafeteria and practise starting at
ပြီးရင် ဒီမဂ္ဂဇင်းကို မစ္စတာယာမာဒါကို ငှားမယ်။,I will lend this magazine to Mr Yamada next
မနေ့က ကုမ္ပဏီ ခွင့်ယူပြီး ဆေးရုံ သွားတယ်။,I took a day off work to go to the hospital
ညီမလေး ပြန်မလာသေးလို့ အမေ စိတ်ပူနေတယ်။,My mother is worried because my sister is not home yet
အဲဒီစူပါမားကက်မှာ ငါး နည်းနည်းပဲ ရှိတယ်။,There arent many fish in that supermarket
မနက်ဖန် မစ္စတာလီဆီ ဖုန်းဆက်မယ်။,I will call Mr Lee tomorrow
ဘယ်လို ပြောရမလဲ၊ သိပ် နားမလည်ဘူး။,Well I dont know Im not really sure
တော်ကြာကျရင် စာကြည့်တိုက်မှာ စာအုပ် သွားအပ်မယ်။,I will go to the library later to return a book
ငါးလ သုံးရက်ကနေ ငါးလ ငါးရက်နေ့အထိ ကျောင်းတွေ ရုံးတွေ ပိတ်တယ်။,There is no school or work from the third of March until the fifth of May
ဟိုနားကဆေးရုံက ဗုဒ္ဓဟူးနေ့နဲ့ တနင်္ဂနွေနေ့ ပိတ်တယ်။,That hospital is closed on Wednesdays and Sundays
